id,name
1,Business Administration-Finanace
2,Business Administration-Foreign Trade
3,Business Administration-Human Resoucre
4,Business Administration-Information Technology
5,Business Administration-Marketing
6,Business Administration-Material Management
7,Business Administration-Operations Management
8,Chemical Engg.
9,Civil Engg.
10,Civil Infra
11,Civil(Cons-Man)
12,Computer (Cyber Security)
13,Computer (Data Science)
14,Computer Application
15,Computer Engg.
16,Computer Science
17,Computer Science (Big Data)
18,Computer Science (Cloud)
19,Electrical & Electronics Engg.
20,Electrical Engg.
21,Electronics & Communication
22,Electronics & Communication Engg.
23,Environment Engg.
24,Environment Science Technolgy
25,Fire & Safety
26,Human Resouce Development
27,Human Resouce Management
28,Industrial Chemistry
29,Information & Communication
30,Information Technology
31,Informtion & Communication Technology
32,Instrumentation & Control
33,Instrumentation & Control
34,Labour Welfare
35,Mechanical
36,Metuallurgy
37,Petro Chemical
38,Petrolium
39,Power Electronics
40,Social Work
