id,college_name,place
1,A.D.PATEL INSTITUTE OF TECH.,KARAMSAD
2,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY,AHMEDABAD
3,AHMEDABAD INSTITUTE OF TECH,AHMEDABAD
4,ALPHA COLLEGE OF ENGG. & TECH.,KALOL
5,AMIRAJ COLLEGE OF ENGG & TECH.,AHMEDABAD
6,APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY,AHMEDABAD
7,ARRDEKTA INST. OF TECHNOLOGY,SABARKANTHA
8,"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND TECHNOLOGY",RAJKOT
9,B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY,RAJKOT
10,BABARIA INSTITUTE OF TECHNOLOGY,VADODARA
11,BALAJI ENGINEERING COLLEGE,MAKHIYALA
12,BHAGWAN ARIHANT INSTITUTE OF TECH.,SURAT
13,BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH.,SURAT
14,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA),",V.V.NAGAR
15,C. K. PITHAWALA COLLEGE OF ENGG. & TECH.,SURAT
16,C.U.SHAH COLLEGE OF ENGG.& TECH.,WADHVAN
17,CENTRAL INSTITUE OF PLASTICS ENGG. & TECH.,AHMEDABAD
18,CHANDUBHAI S PATEL INSTITUTE OF TECHNOLOGY,CHANGA
19,CHHOTUBHAI GOPALBHAI PATEL INSTITUTE OF TECH.,BARDOLI
20,COLLEGE OF SAFETY & FIRE TECHNOLGY,SANAND
21,D. A. DEGREE ENGINEERING AND TECHNOLOGY,KHEDA
22,DARSHAN INSTITUTE OF ENGG. & TECH.,HADALA
23,"DEPARTMENT OF ENGINEERING AND COMPUTING , INSTITUTE OF ADVANCE RESEARCH",GANDHINAGAR
24,DEVANG PATEL INSTITUTE OF ADVANCE TECHNOLOGY AND RESEARCH,CHANGA
25,DHIRUBHAI AMBANI INSTITUTE OF INFO. & COMM. TECH.,GANDHINAGAR
